data_num,Week,$\mu^c$,$\beta^c$,$\sigma^c$,$Delta^c$,$Omicron^c$,$Policy^c$,$Policy^p$,RI,label,beta,gamma,R0,Re,growth_rate,doubling_time,sir_fit_r2,sir_residual,sir_rel_residual,Re_trend,peak_estimate,initial_cases,final_cases,case_ratio,sir_reliable
872,5,0.3022,0.0263,0.1931,0,1,0.1389,0.1389,0.009490525466459284,2,0.2943,0.2,1.471,1.439,0.0943,7.4,0.7116,-11588.6,-0.1258,-0.0398,152929.9,15943,92131,5.778,1
946,2,0.469,-0.0259,0.2593,0,1,0.1111,0.1111,0.0001787247015622727,1,0.0826,0.1328,0.622,0.615,-0.0503,13.8,0.3304,-2184.8,-0.1653,-0.0135,42180.1,42180,13215,0.313,1
542,4,0.5063,-0.0039,0.3174,1,0,0.4705,0.4475,-1.174881812888522e-05,1,0.0274,0.04,0.685,0.685,-0.0126,55.0,-0.6622,417.3,0.2082,-0.012,2040.6,2040,2003,0.981,0
567,1,0.3449,0.0189,0.2221,1,0,0.4442,0.4359,0.0005368917797641188,1,0.1175,0.1003,1.171,1.17,0.0172,40.4,0.4102,267.2,0.1024,0.0351,2979.4,1661,2608,1.569,1
855,2,0.0994,0.01,0.0804,0,1,0.1389,0.1389,0.03353176960682704,2,0.0743,0.03,2.478,2.465,0.0443,15.6,0.6448,7865.2,0.258,0.0506,39937.2,9324,30479,3.269,1
896,1,0.5616,0.0028,0.2367,0,1,0.1389,0.1389,-0.002081368015851654,0,0.2083,0.2,1.041,0.992,0.0083,83.8,-0.0038,-71668.0,-1.3829,0.0069,173741.5,107563,51825,0.482,0
235,5,0.2652,0.0164,0.211,0,0,0.5165,0.5311,0.003759460241012261,2,0.1585,0.1272,1.245,1.245,0.0312,22.2,0.507,3.3,0.0323,0.0105,121.8,51,99,1.893,1
398,0,0.3951,0.0309,0.2311,0,0,0.5833,0.5476,0.002811495682868648,1,0.2018,0.1724,1.17,1.17,0.0294,23.6,0.8143,-54.6,-0.0912,0.012,807.2,362,598,1.645,1
521,4,0.4163,0.0171,0.2517,1,0,0.5066,0.4806,0.001140514816329434,1,0.1091,0.1081,1.01,1.009,0.0011,654.9,-0.1024,389.5,0.1902,0.0104,2062.3,1623,2047,1.26,0
168,1,0.3152,0.0457,0.3072,0,0,0.5245,0.5033,0.007282143090118057,2,0.3832,0.2,1.916,1.916,0.1832,3.8,0.7418,-131.5,-0.4438,0.0037,746.3,10,295,24.752,1
